14 06 2017, 0.00, 3.57
15 06 2017, 0.00, 3.29
16 06 2017, 0.00, 5.67
17 06 2017, 0.00, 5.88
18 06 2017, 49.78, 16.75
19 06 2017, 3.36, 16.15
20 06 2017, 1119.51, 20.54
21 06 2017, 68.10, 20.45
22 06 2017, 74.88, 20.37
23 06 2017, 0.00, 11.36
24 06 2017, 87.46, 22.84
25 06 2017, 146.44, 20.95
26 06 2017, 92.85, 23.02
27 06 2017, 3.00, 22.51
28 06 2017, 0.00, 9.37
29 06 2017, 0.00, 7.62
30 06 2017, 0.00, 7.26
01 07 2017, 95.58, 18.90
02 07 2017, 226.63, 17.23
03 07 2017, 31.80, 16.79
04 07 2017, 20.69, 14.24
05 07 2017, 190.88, 21.32
06 07 2017, 0.00, 18.23
07 07 2017, 84.08, 21.84
08 07 2017, 207.95, 25.25
09 07 2017, 24.28, 24.05
10 07 2017, 25.92, 22.88
11 07 2017, 0.00, 20.94
12 07 2017, 0.76, 22.27
13 07 2017, 59.12, 29.25
14 07 2017, 6.37, 28.30
15 07 2017, 0.00, 25.71
16 07 2017, 130.67, 29.13
17 07 2017, 526.65, 30.28
18 07 2017, 143.33, 30.83
19 07 2017, 347.45, 26.03
20 07 2017, 0.00, 23.65
21 07 2017, 49.18, 26.21
22 07 2017, 279.58, 26.50
23 07 2017, 0.00, 26.36
24 07 2017, 56.68, 30.60
25 07 2017, 197.90, 33.67
26 07 2017, 97.50, 32.81
27 07 2017, 307.54, 33.34
28 07 2017, 0.00, 34.34
29 07 2017, 27.34, 25.74
30 07 2017, 195.06, 28.26
31 07 2017, 141.17, 32.01
01 08 2017, 30.33, 29.92
02 08 2017, 125.80, 23.35
03 08 2017, 0.46, 21.84
04 08 2017, 33.84, 26.69
05 08 2017, 145.46, 29.50
06 08 2017, 48.05, 26.90
07 08 2017, 110.41, 25.28
08 08 2017, 81.14, 24.07
09 08 2017, 349.57, 18.86
10 08 2017, 329.05, 22.95
11 08 2017, 131.21, 30.56
12 08 2017, 74.36, 33.52
13 08 2017, 441.43, 27.47
14 08 2017, 302.02, 26.05
15 08 2017, 192.12, 21.39
16 08 2017, 0.00, 14.28
17 08 2017, 0.00, 16.04
18 08 2017, 0.00, 17.40
19 08 2017, 273.20, 21.99
20 08 2017, 21.37, 24.64
21 08 2017, 3.22, 27.49
22 08 2017, 1.30, 25.11
23 08 2017, 36.05, 25.47
24 08 2017, 0.52, 25.49
25 08 2017, 0.00, 22.51
26 08 2017, 109.60, 24.58
27 08 2017, 152.34, 19.94
28 08 2017, 63.40, 21.41
29 08 2017, 37.64, 20.52
30 08 2017, 12.50, 19.01
31 08 2017, 0.00, 19.10
01 09 2017, 0.00, 15.55
02 09 2017, 0.00, 17.60
03 09 2017, 0.00, 16.71
04 09 2017, 0.00, 15.57
05 09 2017, 0.00, 15.96
06 09 2017, 0.00, 17.66
07 09 2017, 0.00, 20.72
08 09 2017, 0.00, 19.53
09 09 2017, 0.00, 22.99
10 09 2017, 0.00, 19.77
11 09 2017, 0.00, 19.52
12 09 2017, 0.00, 18.43
13 09 2017, 0.00, 16.37
14 09 2017, 0.00, 16.40
15 09 2017, 84.53, 17.87
16 09 2017, 0.00, 18.52
17 09 2017, 1.64, 15.37
18 09 2017, 0.00, 12.15
19 09 2017, 0.00, 5.99
20 09 2017, 0.00, 10.53
21 09 2017, 0.00, 11.24
22 09 2017, 0.00, 12.34
23 09 2017, 0.00, 18.59
24 09 2017, 0.00, 9.13
25 09 2017, 0.00, 9.69
26 09 2017, 15.08, 13.98
27 09 2017, 0.00, 18.33
28 09 2017, 0.00, 19.95
29 09 2017, 19.28, 21.45
30 09 2017, 0.68, 21.19
01 10 2017, 979.93, 21.30
02 10 2017, 0.00, 8.33
04 10 2017, 617.42, 26.85
05 10 2017, 316.76, 32.05
06 10 2017, 760.40, 26.60
07 10 2017, 0.00, 3.40
08 10 2017, 0.00, 5.24
09 10 2017, 0.00, 7.47
10 10 2017, 0.00, 5.34
11 10 2017, 0.00, 8.36
12 10 2017, 0.00, 14.73
13 10 2017, 0.00, 15.91
14 10 2017, 0.00, 14.56
15 10 2017, 0.00, 2.51
16 10 2017, 0.00, 3.88
17 10 2017, 0.00, 8.53
18 10 2017, 0.00, 6.99
19 10 2017, 0.00, 11.42
20 10 2017, 4.02, 16.26
21 10 2017, 0.00, 11.12
22 10 2017, 0.00, 6.57
23 10 2017, 0.00, 9.51
24 10 2017, 0.00, 10.69
25 10 2017, 0.00, 8.81
26 10 2017, 0.00, 6.91
27 10 2017, 0.00, 9.07
28 10 2017, 0.00, 10.00
29 10 2017, 0.00, 8.11
30 10 2017, 0.00, 8.21
31 10 2017, 0.00, 12.58
01 11 2017, 0.00, 9.17
02 11 2017, 0.00, 9.27
03 11 2017, 0.00, 7.39
04 11 2017, 0.00, 13.42
05 11 2017, 0.00, 14.60
06 11 2017, 0.00, 9.30
07 11 2017, 0.00, 13.32
08 11 2017, 0.00, 10.19
09 11 2017, 0.00, 3.73
10 11 2017, 0.00, 9.41
11 11 2017, 0.00, 8.39
12 11 2017, 0.00, 7.11
13 11 2017, 0.00, 12.39
14 11 2017, 0.00, 8.28
15 11 2017, 0.00, 6.39
16 11 2017, 0.00, 6.25
17 11 2017, 0.00, 8.22
18 11 2017, 0.00, 2.37
19 11 2017, 0.00, 1.47
20 11 2017, 0.00, 2.69
21 11 2017, 0.00, 8.12
22 11 2017, 0.00, 10.12
23 11 2017, 0.00, 8.14
24 11 2017, 0.00, 7.41
25 11 2017, 0.00, 7.28
26 11 2017, 0.00, 6.43
27 11 2017, 0.00, 5.45
28 11 2017, 0.00, 5.97
29 11 2017, 0.00, 6.52
30 11 2017, 0.00, 10.74
01 12 2017, 0.00, 14.34
02 12 2017, 0.00, 10.77
03 12 2017, 0.00, 11.77
04 12 2017, 0.11, 8.62
