01 01 2017, 43.62, 11.62
02 01 2017, 0.00, 8.62
03 01 2017, 0.00, 8.00
04 01 2017, 0.00, 9.03
05 01 2017, 0.00, 9.62
06 01 2017, 0.00, 12.21
07 01 2017, 0.00, 1.59
08 01 2017, 0.00, 7.27
09 01 2017, 0.00, 13.93
10 01 2017, 0.00, 12.47
11 01 2017, 0.00, 6.53
12 01 2017, 0.00, 7.21
13 01 2017, 0.00, 4.41
14 01 2017, 0.00, 9.00
15 01 2017, 0.00, 10.37
16 01 2017, 0.00, 12.71
17 01 2017, 36.04, 8.98
18 01 2017, 0.00, 8.51
19 01 2017, 1.93, 9.90
20 01 2017, 0.00, 11.04
21 01 2017, 0.00, 9.28
22 01 2017, 10.26, 5.19
23 01 2017, 0.00, 10.36
24 01 2017, 0.00, 6.28
25 01 2017, 36.00, 3.16
26 01 2017, 4.40, 3.83
27 01 2017, 0.00, 3.33
28 01 2017, 0.00, 2.01
29 01 2017, 0.00, 4.05
30 01 2017, 0.00, 4.81
31 01 2017, 0.00, 4.16
01 02 2017, 0.00, 4.71
02 02 2017, 0.00, 3.14
03 02 2017, 0.00, 3.67
04 02 2017, 0.00, 4.59
05 02 2017, 0.00, 3.90
06 02 2017, 0.00, 4.29
07 02 2017, 0.00, 10.24
08 02 2017, 0.00, 12.47
09 02 2017, 0.00, 8.52
10 02 2017, 0.00, 8.71
11 02 2017, 0.00, 9.60
12 02 2017, 0.00, 9.38
13 02 2017, 0.00, 11.86
14 02 2017, 0.00, 11.51
15 02 2017, 0.00, 8.52
16 02 2017, 0.00, 5.61
17 02 2017, 0.00, 4.35
18 02 2017, 4.50, 13.12
19 02 2017, 0.00, 7.49
20 02 2017, 1.58, 7.62
21 02 2017, 0.00, 5.82
22 02 2017, 0.00, 7.36
23 02 2017, 0.00, 12.18
24 02 2017, 0.00, 2.38
25 02 2017, 0.00, 2.37
26 02 2017, 0.00, 3.11
27 02 2017, 0.00, 7.07
28 02 2017, 0.00, 5.27
01 03 2017, 44.99, 6.23
02 03 2017, 0.00, 1.39
03 03 2017, 0.00, 2.02
04 03 2017, 0.00, 3.89
05 03 2017, 0.00, 7.85
06 03 2017, 0.00, 10.01
07 03 2017, 0.00, 4.51
08 03 2017, 0.00, 2.98
09 03 2017, 0.00, 5.65
10 03 2017, 0.00, 5.84
11 03 2017, 0.00, 5.61
12 03 2017, 0.00, 6.21
13 03 2017, 211.49, 8.29
14 03 2017, 0.00, 7.05
15 03 2017, 0.00, 2.78
16 03 2017, 0.00, 3.59
17 03 2017, 0.00, 5.40
18 03 2017, 0.00, 5.90
19 03 2017, 0.00, 8.42
20 03 2017, 0.00, 5.41
21 03 2017, 0.00, 8.61
22 03 2017, 0.00, 11.83
23 03 2017, 0.00, 8.06
24 03 2017, 0.00, 7.93
25 03 2017, 0.00, 5.05
26 03 2017, 0.00, 6.77
27 03 2017, 0.00, 7.27
28 03 2017, 0.00, 9.57
